ts_unix	user_id	side	ts_ms	imu_state_num	imu_state	rep_id	desc_ms	rise_ms	tempo_cv	tempo_score	tempo_level	pitch_deg	pitch_vel_dps
1760875625.737	user_061	L	1254714	-1	DESC	3	0	0	0.14	86	A_매우안정	-1.61	-22.88
1760875625.84	user_061	L	1254816	-1	DESC	3	0	0	0.14	86	A_매우안정	-1.48	-20.65
1760875626.023	user_061	L	1254918	-1	DESC	3	0	0	0.14	86	A_매우안정	-1.37	-18.63
1760875626.023	user_061	L	1255020	-1	DESC	3	0	0	0.14	86	A_매우안정	-1.28	-16.81
1760875626.316	user_061	L	1255122	-1	DESC	3	0	0	0.14	86	A_매우안정	-1.2	-15.17
1760875626.316	user_061	L	1255224	-1	DESC	3	0	0	0.14	86	A_매우안정	-1.13	-13.68
1760875626.335	user_061	L	1255325	-1	DESC	3	0	0	0.14	86	A_매우안정	-1.08	-12.35
1760875626.602	user_061	L	1255427	-1	DESC	3	0	0	0.14	86	A_매우안정	-1.04	-11.14
1760875626.602	user_061	L	1255529	-1	DESC	3	0	0	0.14	86	A_매우안정	-0.99	-10.05
1760876957.029	user_064	L	24692	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.4	0.07
1760876957.118	user_064	L	24794	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.41	0.07
1760876957.253	user_064	L	24896	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.42	0.07
1760876957.343	user_064	L	24998	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.42	0.07
1760876957.464	user_064	L	25099	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.43	0.07
1760876957.568	user_064	L	25201	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.43	0.07
1760876957.745	user_064	L	25303	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.44	0.07
1760876957.748	user_064	L	25405	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.44	0.07
1760876957.839	user_064	L	25507	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.43	0.06
1760876958.028	user_064	L	25609	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.43	0.05
1760876958.063	user_064	L	25711	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.43	0.05
1760876958.316	user_064	L	25813	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.42	0.04
1760876958.316	user_064	L	25915	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.42	0.04
1760876958.423	user_064	L	26017	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.43	0.04
1760876958.598	user_064	L	26120	0	HOLD	0	0	0	0.0	100	A_매우안정	-3.41	0.03
